NCESSCH,TEACHERS
10147001514,32.17
10147001787,22.95
10153000528,68.99
10153000531,20.04
10153000532,54.8
10153000534,30.54
10153000535,28.1
10153000536,43.81
10153001644,
10153001663,
10153001664,36.79
10156000538,53.15
10156000539,26.5
10156001365,53.5
10156001750,50.35
10159000541,32.19
10159000542,12.07
10159000544,23.6
10159000545,48.22
10159000547,30.53
10159000548,21.33
10159000860,0.5
10159001861,28.25
10159001869,20.11
10162000551,16.43
10162000552,16.51
10162000553,27.5
10162000555,21.59
10162000559,26.96
10162000563,22.87
10162000564,21.51
10162000565,15.53
10162001368,0.0
10162001517,22.01
10162001646,0.0
10162001650,0.0
10162001665,24.29
10162001666,15.21
10162001824,92.15
10164000567,22.0
10164000568,38.82
10164001788,19.18
10166000570,12.55
10166000571,13.62
10166001519,19.15
10166001771,20.0
10166001772,8.5
10166001791,24.0
10166001792,9.45
10166001793,33.0
10166001794,14.85
10166002418,0.0
10168000576,14.0
10168000864,0.0
10168001452,23.0
10168001520,22.0
10168002181,0.0
10169000579,22.28
10169000580,23.0
10169000581,30.0
10169000582,35.72
10171000588,22.5
10171000589,33.0
10171000875,0.0
10171002156,14.5
10171002158,37.0
10171002162,23.5
10171002411,13.5
10172000594,25.64
10172001370,8.28
10172001795,51.72
10172001885,23.76
10173000328,21.67
10173000596,33.47
10173000597,26.67
10173000598,28.79
10173000599,55.39
10173002356,23.73
10174000600,24.0
10174000602,25.0
10174000603,45.5
10174000604,22.0
10174000605,28.5
10174002120,0.0
10176000606,50.0
10176000607,47.5
10176000608,84.97
10176000609,55.6
10176000610,38.0
10177000611,38.0
10177000612,44.0
10177000614,21.0
10177000615,40.0
10177000616,26.0
10177000617,50.0
10177000882,0.0
10177000885,0.0
10177001668,44.0
10177002077,30.0
10177002078,63.0
10177002358,0.0
10180000533,29.5
10180000618,42.3
10180000620,45.0
10180000621,25.9
10180000622,42.4
10180000623,25.75
10180000624,37.7
10180000628,23.2
10180000629,94.0
10180000630,28.9
10180000631,98.9
10180000632,29.99
10180000634,34.14
10180000635,25.95
10180000636,57.0
10180000638,29.85
10180000639,16.62
10180000640,13.5
10180000643,38.6
10180000644,30.0
10180000650,28.9
10180000651,30.35
10180000652,23.0
10180001374,25.5
10180001375,0.7
10180001379,6.0
10180001529,33.05
10180001530,48.0
10180001531,60.5
10180001651,61.3
10180001653,0.0
10180001773,31.0
10180001774,28.0
10180001796,31.3
10180002093,29.5
10180002146,38.2
10180002172,50.5
10180002173,43.5
10180002379,25.5
10180002419,51.85
10180002425,34.65
10183000654,13.0
10183000655,9.5
10183000656,9.5
10183000657,12.5
10183000658,9.04
10183000659,10.67
10183000662,40.79
10183000663,4.69
10183000666,12.0
10183000667,33.59
10183000668,27.07
10183000671,30.75
10183000888,2.0
10183000908,2.0
10183001532,37.34
10183001533,22.5
10183001534,15.5
10183001674,10.0
10183001751,27.61
10186000672,50.0
10186000673,43.5
10189000674,36.5
10189000675,25.56
10189000677,34.22
10189000678,54.75
10189000679,15.22
10189001675,0.0
10192000466,0.0
10192000469,69.0
10192000472,49.0
10192000483,65.0
10192000681,20.0
10192000684,32.1
10192000687,34.0
10192000689,39.0
10192000691,25.5
10192000692,14.5
10192000694,45.0
10192000695,73.0
10192000696,31.0
10192000697,19.0
10192000698,29.0
10192000699,21.5
10192000701,37.0
10192000702,48.0
10192000703,52.0
10192000704,28.0
10192000705,56.0
10192000706,55.5
10192000710,14.9
10192000715,17.5
10192000716,54.0
10192000717,58.0
10192000718,21.7
10192000720,40.0
10192000724,15.0
10192000725,54.5
10192000727,22.1
10192000728,39.0
10192000729,16.6
10192000730,19.0
10192000732,43.0
10192000733,53.5
10192000734,57.5
10192000735,39.0
10192000736,41.0
10192000737,44.0
10192000740,9.9
10192000744,74.5
10192000749,16.4
10192000750,8.7
10192001453,33.5
10192001539,20.0
10192001542,43.0
10192001543,36.5
10192001574,0.0
10192001680,0.0
10192001752,50.0
10192001862,0.0
10192002079,31.0
10192002080,23.6
10192002117,28.5
10192002166,38.5
10192002174,26.5
10192002182,32.0
10192002421,15.0
10195000756,45.52
10195000757,22.01
10195000941,0.0
10195001511,35.15
10195001720,30.32
10198000759,15.09
10198000760,6.91
10198001544,34.5
10201000762,0.0
10201000764,40.48
10201000765,79.16
10201000767,63.4
10201000769,7.0
10201000770,52.65
10201000772,66.22
10201000773,18.15
10201000774,21.23
10201000775,69.24
10201001545,42.47
10204000776,10.75
10204000777,0.0
10204000778,19.25
10204000779,25.0
10204000780,21.0
10204000781,15.5
10204000783,31.0
10204000785,42.0
10204000786,29.0
10204000787,10.0
10204000788,12.0
10204000958,9.0
10204001410,35.0
10204001546,21.75
10204002211,1.0
10207000284,41.0
10207000285,44.0
10207000290,22.0
10207000296,42.0
10207000486,49.0
10207000790,43.5
10207000791,35.0
10207000792,24.0
10207000793,32.0
10207000794,53.0
10207000795,80.73
10207000796,48.0
10207002188,32.5
10207002197,28.27
10210000797,49.27
10210000799,26.32
10210000800,64.26
10210000802,23.14
10210000805,27.2
10210000806,14.3
10210000808,32.08
10210000810,57.84
10210000959,0.0
10210001454,33.5
10210001549,37.24
10210002081,35.83
10210002164,29.8
10210002422,21.1
10210002423,24.0
10210002431,22.7
10213000811,6.0
10213000812,15.0
10213000813,11.75
10216000815,14.5
10216000816,16.0
10216000817,16.5
10216000821,12.0
10216001578,0.0
10216001635,17.0
10216001636,10.0
10216001637,8.0
10219000824,16.09
10219000826,12.25
10219000827,14.07
10219000829,8.13
10219001811,30.64
10219001863,31.32
10219002353,0.0
10222000030,42.54
10222000556,30.79
10222000560,48.17
10222000566,41.21
10222000835,35.12
10222000836,71.32
10222000837,28.13
10222000838,51.1
10222000842,27.03
10222000843,21.3
10222000844,22.15
10222000846,21.59
10222000848,90.55
10222000850,17.4
10222000978,0.0
10222000984,14.0
10222001411,31.19
10222001412,38.51
10222001433,41.5
10222001513,35.77
10222001683,73.48
10222001684,37.68
10222001731,34.53
10222001820,39.12
10222001821,33.85
10222002082,28.29
10222002163,32.22
10222002178,36.36
10222002376,26.6
10225000852,10.0
10225000856,16.0
10225000857,37.5
10231000861,10.0
10231000862,7.0
10231000863,15.5
10231000865,14.0
10231000866,11.83
10231000867,25.0
10231000868,27.54
10231000869,12.88
10231000985,2.13
10231001455,13.5
10231001552,40.0
10231002160,14.0
10235000890,21.0
10235000891,20.0
10235000892,16.5
10235001381,0.0
10237000572,48.0
10237000895,23.0
10237000896,26.0
10237000897,18.0
10237000898,43.0
10237000899,151.0
10237000900,50.0
10237000901,9.25
10237000902,12.5
10237000904,15.25
10237000906,49.0
10237000907,34.25
10237000910,28.04
10237000911,6.0
10237000912,84.0
10237000913,42.0
10237000914,27.4
10237000915,50.0
10237000916,27.0
10237000919,34.25
10237000920,34.48
10237000922,27.4
10237000924,28.04
10237000927,17.6
10237000928,22.25
10237000930,32.3
10237000931,41.0
10237000932,32.4
10237000934,113.0
10237000935,19.24
10237000936,32.0
10237000938,39.04
10237000939,12.25
10237000940,29.3
10237000942,115.0
10237000943,29.0
10237000944,23.3
10237000946,28.25
10237000947,40.2
10237000949,19.25
10237000954,36.0
10237000955,65.0
10237000956,34.37
10237000960,17.5
10237000961,37.09
10237000962,48.0
10237000963,14.5
10237000964,41.0
10237000965,39.0
10237000966,33.0
10237000968,17.0
10237000969,50.0
10237000970,33.0
10237000989,95.04
10237000990,42.0
10237000992,30.25
10237001028,15.0
10237001030,23.3
10237001038,
10237001083,14.0
10237001086,13.0
10237001414,32.5
10237001435,69.0
10237001436,41.0
10237001437,50.0
10237001438,20.0
10237001516,27.0
10237001556,21.3
10237001559,28.0
10237001560,32.75
10237001595,45.0
10237001597,0.0
10237001605,0.0
10237001617,37.3
10237001618,32.0
10237001619,22.8
10237001620,36.0
10237001624,0.0
10237001686,15.0
10237001688,89.61
10237001689,13.55
10237001732,26.6
10237001775,30.4
10237001799,20.0
10237001813,54.8
10237002083,32.1
10237002136,28.0
10237002168,26.5
10237002177,0.0
10237002202,19.5
10237002208,23.0
10240000973,28.75
10240000975,61.0
10240000979,16.25
10240000980,39.0
10240000981,5.0
10240000983,23.5
10240001087,0.0
10240001094,0.0
10240001562,39.0
10243000504,28.5
10243000512,25.0
10243000991,26.0
10243000993,29.0
10243000995,32.0
10243000996,36.0
10243000998,19.0
10243001001,34.0
10243001004,34.0
10243001006,43.0
10243001007,38.0
10243001008,25.0
10243001009,25.0
10243001010,15.0
10243001011,9.0
10243001012,24.0
10243001013,24.5
10243001014,39.0
10243001015,69.5
10243001016,28.0
10243001017,28.0
10243001021,24.0
10243001022,26.0
10243001024,104.5
10243001025,30.0
10243001027,22.0
10243001031,32.0
10243001034,13.0
10243001035,82.5
10243001036,47.5
10243001037,15.0
10243001039,28.0
10243001101,24.0
10243001105,33.0
10243001111,33.0
10243001392,30.0
10243001417,35.33
10243001439,23.0
10243001457,35.5
10243001458,33.0
10243001459,29.0
10243001524,38.0
10243001563,35.0
10243001564,24.0
10243001691,0.0
10243001753,47.0
10243001776,32.17
10243001777,29.0
10243002084,23.0
10243002151,25.0
10243002152,40.0
10243002157,0.0
10243002207,0.0
10243002214,62.0
10243002413,9.0
10248000202,27.0
10248000204,21.0
10248000212,37.7
10248000574,20.67
10248001041,27.43
10248001042,24.34
10248001043,21.43
10248001044,24.16
10248001046,17.43
10248001048,26.05
10248001050,18.29
10248001051,25.93
10248001052,23.04
10248001121,0.0
10248001440,31.0
10248001526,0.0
10248001696,58.44
10248001864,19.89
10248001871,21.7
10249001053,32.0
10249001054,30.0
10249001055,49.5
10249001056,88.38
10249001057,82.43
10249001058,33.0
10252001059,36.53
10252001060,16.62
10252001062,46.47
10252001063,16.75
10252001382,9.0
10252001424,36.83
10252001800,18.75
10255000583,41.79
10255001064,24.17
10255002355,17.54
10258000093,21.2
10258000349,23.6
10258001067,24.4
10258001068,24.6
10258001070,84.5
10258001071,62.21
10258001566,20.2
10258001778,27.0
10258002098,0.0
10261001073,22.22
10261001074,23.28
10261001078,33.0
10263501075,68.5
10263501076,51.6
10263501383,42.0
10263501384,0.0
10263501733,40.5
10263501865,35.75
10263502099,27.65
10264001080,44.0
10264001081,28.75
10264001084,23.25
10264001085,31.0
10264001385,0.0
10264001386,0.0
10265001469,21.12
10265001541,14.63
10265001569,22.12
10265001570,14.58
10265001572,26.13
10265001573,68.43
10265001722,28.87
10265001883,31.87
10267001577,37.5
10267001734,47.0
10267002129,0.0
10270001088,70.8
10270001089,12.0
10270001090,42.8
10270001091,41.0
10270001092,23.65
10270001093,29.0
10270001096,24.0
10270001547,27.0
10270001548,46.0
10270001655,0.0
10270002140,24.25
10270002179,33.5
10270002414,0.0
10273001097,21.43
10273001098,14.76
10273001099,14.43
10273001102,16.77
10273001103,37.43
10273001104,28.76
10273001106,17.42
10273001131,0.0
10276001108,20.31
10276001109,33.14
10276001818,13.62
10279001110,25.0
10279001112,27.0
10279001113,28.0
10279001114,30.0
10279001115,26.0
10279001137,0.0
10279002155,0.0
10282001119,20.98
10282001122,11.26
10282001123,24.36
10282001124,10.67
10282001125,41.06
10282001139,7.0
10282002171,19.17
10285001126,26.0
10285001127,28.0
10285001128,30.0
10285001387,0.0
10288001132,10.5
10288001133,29.5
10288001134,21.0
10288001135,25.0
10288001155,0.0
10288001441,26.0
10288001802,55.0
10288002192,23.0
10291001140,37.25
10291001141,33.0
10291001142,45.0
10291001143,54.25
10294001144,20.94
10294001145,25.07
10294001147,43.26
10294001148,22.09
10294001486,21.69
10294001587,16.95
10297000152,9.0
10297000540,0.0
10297001149,0.5
10297001150,11.5
10297001151,25.02
10297001153,12.53
10297001154,16.5
10297001156,10.0
10297001157,18.5
10297001158,17.5
10297001160,39.26
10297001161,21.69
10297001872,0.0
10300000160,8.88
10300001164,24.12
10300001167,23.8
10300001168,19.2
10303000031,45.4
10303000124,53.0
10303000324,35.0
10303001169,42.8
10303001170,43.0
10303001171,64.4
10303001173,23.5
10303001174,39.0
10303001175,51.2
10303001176,41.8
10303001177,28.0
10303001178,20.5
10303001181,12.55
10303001186,32.5
10303001187,36.2
10303001188,11.65
10303001189,88.0
10303001190,15.0
10303001418,0.0
10303001442,50.0
10303001588,34.8
10303001621,36.2
10303001803,16.0
10303001804,38.6
10303001822,51.1
10303001868,35.0
10303002085,38.6
10303002128,47.5
10303002189,40.6
10303002191,62.5
10303002199,40.6
10306200217,48.75
10306200219,24.0
10306200322,15.28
10306200520,25.75
10306201172,23.12
10306201180,0.0
10306201362,24.52
10306201367,33.68
10306201372,27.0
10306201376,34.8
10306201377,36.3
10306201378,12.5
10306201537,18.33
10306201590,
10306201591,37.47
10306201622,30.0
10306201779,51.0
10306201877,15.0
10306202170,37.0
10309001192,32.5
10309001193,7.5
10309001194,0.0
10309001195,15.0
10309001592,12.0
10309002201,33.0
10312001199,32.0
10312001200,39.34
10312001594,31.0
10312002100,30.66
10315001201,18.25
10315001203,17.25
10315001205,15.25
10315001207,23.0
10315001208,17.0
10315001390,10.0
10315001724,26.25
10318000577,28.0
10318001206,0.0
10318001209,22.49
10318001210,24.58
10318001211,20.83
10318001212,13.31
10318001213,23.42
10318001214,27.89
10318001215,15.2
10318001216,36.65
10318001220,26.88
10318001226,21.18
10318001443,44.66
10318001599,13.0
10318001756,20.99
10318001805,49.0
10318001806,22.0
10318002086,19.17
10321000038,46.25
10321001228,37.25
10321001229,36.02
10321001234,47.25
10321002364,4.0
10324001236,28.0
10324001238,34.0
10324001601,41.0
10327001239,19.0
10327001240,22.0
10327002138,19.0
10330001247,29.65
10330001248,29.96
10330001701,20.56
10333001395,0.0
10333001602,31.95
10333001603,20.0
10333001807,58.0
10336000584,34.2
10336001250,36.5
10336001251,18.4
10336001252,21.8
10336001255,49.5
10336001256,24.8
10336001257,18.8
10336001260,21.4
10336001266,26.8
10336001268,25.5
10336001269,26.0
10336001271,31.0
10336001399,0.0
10336001608,40.75
10336001610,2.75
10336001632,32.2
10336001881,12.5
10336001889,33.1
10336002101,52.25
10336002102,70.9
10336002134,34.6
10336002143,10.5
10336002145,19.0
10339000052,73.5
10339000233,0.0
10339001272,28.0
10339001273,30.75
10339001274,57.0
10339001275,14.0
10339001276,20.0
10339001277,18.5
10339001278,22.0
10339001279,26.5
10339001280,30.0
10339001282,26.15
10339001283,24.0
10339001284,29.0
10339001285,18.0
10339001287,23.79
10339001289,26.5
10339001291,84.86
10339001292,27.0
10339001293,24.6
10339001294,37.75
10339001295,18.0
10339001445,36.0
10339001462,32.8
10339001540,36.5
10339001633,24.0
10339001702,8.0
10339001880,38.0
10339001882,22.0
10339001887,36.25
10339002087,18.5
10339002088,17.3
10339002153,27.05
10339002154,18.7
10339002350,17.0
10342001297,29.25
10342001298,19.5
10342001299,18.5
10342001300,20.5
10342001400,3.25
10342001656,0.0
10343001301,59.0
10343001302,47.0
10343001303,45.0
10343001304,142.0
10343001425,39.0
10343001757,39.0
10343002103,30.0
10343002135,28.0
10345000131,33.0
10345000135,24.5
10345001225,
10345001237,0.0
10345001305,15.0
10345001307,23.0
10345001308,27.4
10345001309,30.0
10345001310,28.0
10345001311,31.5
10345001317,27.0
10345001319,41.0
10345001320,22.6
10345001321,13.0
10345001325,25.0
10345001611,34.0
10345001703,13.0
10345002377,40.0
10348001242,0.0
10348001332,20.2
10348001333,20.62
10348001335,32.08
10348001336,26.95
10348001337,38.2
10348001338,14.0
10348001339,31.2
10351000325,16.0
10351001342,8.0
10351001344,30.0
10351001419,0.0
10351001780,30.0
10351001809,14.0
10354000343,20.86
10354001355,27.43
10354001613,29.85
10358001243,0.0
10358001356,19.36
10358001357,15.13
10358001358,21.0
10358001359,9.96
10358001360,13.34
10358001463,17.14
10358001464,16.37
10358001465,16.54
10358001466,13.16
20000100206,9.0
20000100207,21.0
20000100208,31.0
20000100209,9.8
20000100210,15.0
20000100211,14.0
20000100212,7.0
20000100213,11.0
20000100214,14.0
20000100215,1.0
20000100318,8.0
20000100329,10.0
20000100389,8.0
20000100391,7.0
20000100392,7.0
20000100406,10.0
20000100408,3.88
20000100409,5.66
20000100436,17.0
20000100438,17.0
20000100439,13.5
20000100440,9.0
20000100441,14.1
20000100474,5.0
20000100475,2.0
20000100476,6.0
20000100619,6.23
20000100620,2.0
20000300216,16.0
20000300217,14.0
20000300218,10.0
20000300219,29.17
20000300220,16.86
20000300222,7.0
20000300410,13.0
20000300411,13.0
20000300412,16.0
20000300413,4.99
20000400579,16.51
20000400623,9.5
20000400624,9.34
20000500582,25.0
